Run_name	WM_retained	CSF_retained
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-034/func/sub-034_task-regularity_run-4_desc-confounds_timeseries.json	20	26
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-035/func/sub-035_task-localizer_desc-confounds_timeseries.json	1	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-035/func/sub-035_task-regularity_run-1_desc-confounds_timeseries.json	6	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-035/func/sub-035_task-regularity_run-2_desc-confounds_timeseries.json	4	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-035/func/sub-035_task-regularity_run-3_desc-confounds_timeseries.json	6	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-035/func/sub-035_task-regularity_run-4_desc-confounds_timeseries.json	5	14
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-036/func/sub-036_task-localizer_desc-confounds_timeseries.json	2	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-036/func/sub-036_task-regularity_run-2_desc-confounds_timeseries.json	5	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-036/func/sub-036_task-regularity_run-3_desc-confounds_timeseries.json	5	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-036/func/sub-036_task-regularity_run-4_desc-confounds_timeseries.json	3	21
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-037/func/sub-037_task-regularity_run-1_desc-confounds_timeseries.json	0	28
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-037/func/sub-037_task-regularity_run-2_desc-confounds_timeseries.json	0	31
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-037/func/sub-037_task-regularity_run-3_desc-confounds_timeseries.json	0	33
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-038/func/sub-038_task-localizer_desc-confounds_timeseries.json	2	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-038/func/sub-038_task-regularity_run-1_desc-confounds_timeseries.json	5	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-038/func/sub-038_task-regularity_run-2_desc-confounds_timeseries.json	4	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-038/func/sub-038_task-regularity_run-3_desc-confounds_timeseries.json	3	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-038/func/sub-038_task-regularity_run-4_desc-confounds_timeseries.json	3	25
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-039/func/sub-039_task-localizer_desc-confounds_timeseries.json	2	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-039/func/sub-039_task-regularity_run-1_desc-confounds_timeseries.json	2	28
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-039/func/sub-039_task-regularity_run-2_desc-confounds_timeseries.json	4	27
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-039/func/sub-039_task-regularity_run-3_desc-confounds_timeseries.json	5	29
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-039/func/sub-039_task-regularity_run-4_desc-confounds_timeseries.json	7	27
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-040/func/sub-040_task-localizer_desc-confounds_timeseries.json	1	20
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-040/func/sub-040_task-regularity_run-1_desc-confounds_timeseries.json	4	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-040/func/sub-040_task-regularity_run-2_desc-confounds_timeseries.json	4	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-040/func/sub-040_task-regularity_run-3_desc-confounds_timeseries.json	3	19
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-040/func/sub-040_task-regularity_run-4_desc-confounds_timeseries.json	6	16
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-041/func/sub-041_task-localizer_desc-confounds_timeseries.json	1	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-041/func/sub-041_task-regularity_run-1_desc-confounds_timeseries.json	1	15
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-041/func/sub-041_task-regularity_run-2_desc-confounds_timeseries.json	1	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-041/func/sub-041_task-regularity_run-3_desc-confounds_timeseries.json	3	17
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-041/func/sub-041_task-regularity_run-4_desc-confounds_timeseries.json	1	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-042/func/sub-042_task-localizer_desc-confounds_timeseries.json	8	24
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-042/func/sub-042_task-regularity_run-1_desc-confounds_timeseries.json	14	33
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-042/func/sub-042_task-regularity_run-2_desc-confounds_timeseries.json	14	27
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-042/func/sub-042_task-regularity_run-3_desc-confounds_timeseries.json	15	31
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-042/func/sub-042_task-regularity_run-4_desc-confounds_timeseries.json	18	35
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-043/func/sub-043_task-localizer_desc-confounds_timeseries.json	5	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-043/func/sub-043_task-regularity_run-1_desc-confounds_timeseries.json	4	18
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-043/func/sub-043_task-regularity_run-2_desc-confounds_timeseries.json	8	23
/scratch/jsein/BIDS/EcritApp/derivatives/fmriprep/sub-043/func/sub-043_task-regularity_run-3_desc-confounds_timeseries.json	12	23
